,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,1356ccd9-8821-44e8-878a-14cee588265f,0.03,3.6462175326469617,1.809286713345438,0.2439345326911435
1,1356ccd9-8821-44e8-878a-14cee588265f,0.05,3.6462175326469617,1.7025289006977,0.21751262885956174
2,1356ccd9-8821-44e8-878a-14cee588265f,0.07,3.6462175326469617,1.9083557635800452,0.285381463698597
3,14d43b06-3a87-45bc-bbae-33e472f816c4,0.03,4.022349898087776,2.1622986414674985,0.24840080315026186
4,14d43b06-3a87-45bc-bbae-33e472f816c4,0.05,4.022349898087776,2.14772717528424,0.24303436969106984
5,14d43b06-3a87-45bc-bbae-33e472f816c4,0.07,4.022349898087776,2.111796536182953,0.24014137994687437
6,256dc0ba-d747-4517-bfdf-386442021398,0.03,3.5763744949782867,1.5592389473843473,0.21558841856700156
7,256dc0ba-d747-4517-bfdf-386442021398,0.05,3.5763744949782867,1.5380384696911333,0.20572288480993392
8,256dc0ba-d747-4517-bfdf-386442021398,0.07,3.5763744949782867,1.6260919862550727,0.2269276307312204
9,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,3.9417473738934814,1.6745432026746894,0.17867828727876264
10,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.05,3.9417473738934814,1.7160719593032068,0.23330237832264739
11,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.07,3.9417473738934814,1.650064119771749,0.20817033141194022
12,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.03,3.436304249683348,2.428070712490242,0.3972322673482053
13,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.05,3.436304249683348,2.498953191172175,0.42995921528639913
14,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.07,3.436304249683348,2.410977488806268,0.41628135822149887
15,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,4.008694367428704,2.1752409695581414,0.21110481610917517
16,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.05,4.008694367428704,2.163164907419532,0.21629857388331644
17,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.07,4.008694367428704,2.1523742361547558,0.2216798652696061
18,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,3.778603479641826,1.8810911544230806,0.23087900034895464
19,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.05,3.778603479641826,1.854392074987668,0.2555577062039065
20,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.07,3.778603479641826,1.844848202682343,0.2278905317985586
21,7242175a-a239-47ec-b54a-a68c646beca7,0.03,3.692363528104929,1.5707350890351157,0.19564287646868764
22,7242175a-a239-47ec-b54a-a68c646beca7,0.05,3.692363528104929,1.6310996264219284,0.23866750822108015
23,7242175a-a239-47ec-b54a-a68c646beca7,0.07,3.692363528104929,2.302646784700899,0.33170875321086657
24,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.03,3.999990535193476,2.0309129650222846,0.20638057618434058
25,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.05,3.999990535193476,2.0735682110334266,0.21111694252889218
26,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.07,3.999990535193476,2.019973757708895,0.2115647305316966
27,f61cbfed-6996-4711-b138-0f9a2c22058a,0.03,3.752736549174532,1.905016630761167,0.20666229533071215
28,f61cbfed-6996-4711-b138-0f9a2c22058a,0.05,3.752736549174532,2.0245716792471864,0.2319986122561262
29,f61cbfed-6996-4711-b138-0f9a2c22058a,0.07,3.752736549174532,1.8937580352133894,0.22898714424289288
