,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,1356ccd9-8821-44e8-878a-14cee588265f,0.03,3.275180045296164,1.318690117667703,0.20933342615471168
1,1356ccd9-8821-44e8-878a-14cee588265f,0.05,3.2685696832064925,1.213185486094705,0.18399270122935033
2,1356ccd9-8821-44e8-878a-14cee588265f,0.07,3.2953111433213755,1.598305881023407,0.2618432061806802
3,14d43b06-3a87-45bc-bbae-33e472f816c4,0.03,3.546253659508445,1.8582487323067405,0.2366418871238376
4,14d43b06-3a87-45bc-bbae-33e472f816c4,0.05,3.7215071439743044,1.8598594029744466,0.1990023239205281
5,14d43b06-3a87-45bc-bbae-33e472f816c4,0.07,3.7115842700004578,1.7802434464295704,0.18744076291720072
6,256dc0ba-d747-4517-bfdf-386442021398,0.03,3.2533756235371465,1.1688722203607145,0.19453618375827436
7,256dc0ba-d747-4517-bfdf-386442021398,0.05,3.0078817657802417,1.1146229661029319,0.2023929812186582
8,256dc0ba-d747-4517-bfdf-386442021398,0.07,3.191973300207229,1.2360486899103438,0.19185290308225722
9,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,3.587104625701904,1.2856726264953613,0.16134262054677734
10,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.05,3.615607500076294,1.2954149416514806,0.2136863193341664
11,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.07,3.730078238707322,1.1848549178013434,0.15794067478810364
12,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.03,2.9085431649134708,2.132947554955116,0.3964149017746632
13,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.05,2.99559439931597,2.194719212395804,0.40110297075339724
14,4ba8f5a2-85c8-4757-930a-f7fca5cb2870,0.07,2.9217020670572915,2.00584144393603,0.3934197456886371
15,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,3.719860255718231,1.6930147409439087,0.1455046494736513
16,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.05,3.6287036517570757,1.84659127942447,0.1906421220112129
17,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.07,3.487451107605644,1.7396805856538855,0.23113983950537184
18,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,2.8922091180628,1.1940367221832275,0.2396289719776674
19,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.05,3.512732161415948,1.3777278794182672,0.21852993075218466
20,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.07,2.944838672876358,1.2052501179277897,0.24194370466284454
21,7242175a-a239-47ec-b54a-a68c646beca7,0.03,3.137159535759374,1.0910314760710065,0.1512727573031425
22,7242175a-a239-47ec-b54a-a68c646beca7,0.05,3.370264929394389,1.2875998900380246,0.23423643843379133
23,7242175a-a239-47ec-b54a-a68c646beca7,0.07,3.178999960422516,1.887416708469391,0.2922139920294285
24,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.03,3.6770608071927673,1.6717811911194413,0.20976251198185814
25,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.05,3.6421474615732827,1.7427495072285335,0.19472703523933887
26,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,0.07,3.709249158059397,1.7227277851873828,0.21035293537762859
27,f61cbfed-6996-4711-b138-0f9a2c22058a,0.03,3.0869948863983154,1.4300017998768733,0.16144966448728854
28,f61cbfed-6996-4711-b138-0f9a2c22058a,0.05,2.864845037460327,1.4631114701430004,0.23336139942208925
29,f61cbfed-6996-4711-b138-0f9a2c22058a,0.07,3.220902058813307,1.3831703927781847,0.22614304897271925
