,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,05f9d8be-ef4b-4c77-9111-d9915cdd7260,0.03,2.8256575908416357,0.4519640224484297,0.10057658597812498
1,05f9d8be-ef4b-4c77-9111-d9915cdd7260,0.05,2.65205496863315,0.21355711217773587,0.11494013133467358
2,05f9d8be-ef4b-4c77-9111-d9915cdd7260,0.07,2.6792995981548144,0.25431226031935733,0.17913660957761432
3,1bc5280b-4bdd-4423-a5a0-5c97c875d752,0.03,2.4590929400536323,0.15213482424376473,0.0840288462749094
4,1bc5280b-4bdd-4423-a5a0-5c97c875d752,0.05,2.4720675084326,0.13949791326497993,0.13479270165165266
5,1bc5280b-4bdd-4423-a5a0-5c97c875d752,0.07,2.592139238781399,0.21142439651820394,0.07302816630571714
6,51ad691b-e2bc-4945-85c2-eb43c753002a,0.03,2.613501425447135,0.19139753500449247,0.08996533743780234
7,51ad691b-e2bc-4945-85c2-eb43c753002a,0.05,2.4967286785443625,0.26347585345307983,0.1844556694229444
8,51ad691b-e2bc-4945-85c2-eb43c753002a,0.07,2.4942589771179926,0.2657514548017865,0.2680850529244968
9,56f1d02c-d927-45d4-b69d-aa3b80a7ee13,0.03,2.7447992398821075,0.43539731076051447,0.12031937126134243
10,56f1d02c-d927-45d4-b69d-aa3b80a7ee13,0.05,2.764279255741521,0.34047423175683145,0.11316612350928908
11,56f1d02c-d927-45d4-b69d-aa3b80a7ee13,0.07,2.6926672910821847,0.38519880201282175,0.10240044229795348
12,742f51c5-196a-49db-843b-47d0ac6912b7,0.03,2.4480341796217293,0.28932442272017744,0.0940932313438157
13,742f51c5-196a-49db-843b-47d0ac6912b7,0.05,2.4688364352498735,0.28052384353109766,0.10310460214636155
14,742f51c5-196a-49db-843b-47d0ac6912b7,0.07,2.4832897518956383,0.3545962544374688,0.19139177334863086
15,7fa86a4a-e9c1-44ea-aa9a-c7342bdd4162,0.03,2.768360135230151,0.34872491733933036,0.13543716720728713
16,7fa86a4a-e9c1-44ea-aa9a-c7342bdd4162,0.05,2.692144139246507,0.3572667230936614,0.1314461230364822
17,7fa86a4a-e9c1-44ea-aa9a-c7342bdd4162,0.07,2.8351112779449013,0.2489669675774434,0.1247598565019229
18,90893163-8a7c-44ae-96fa-34a24ad804b9,0.03,2.399859404563904,0.18322569087147714,0.16993121981620787
19,90893163-8a7c-44ae-96fa-34a24ad804b9,0.05,2.326299866040548,0.17842325982120302,0.20706002331442303
20,90893163-8a7c-44ae-96fa-34a24ad804b9,0.07,2.439205067498343,0.16066923950399672,0.2067374450819833
21,c0258d83-dadf-490d-a8d2-a146246552bf,0.03,2.74760139689726,0.23623508499825702,0.11925133953086664
22,c0258d83-dadf-490d-a8d2-a146246552bf,0.05,2.715901629678134,0.21157698564488311,0.0947040199023539
23,c0258d83-dadf-490d-a8d2-a146246552bf,0.07,2.7209986407181312,0.24696701020002365,0.15921690135166564
24,d85cb6bf-d414-4393-a580-e073eafcedbc,0.03,2.5436899356352978,0.2183734831901697,0.09987790124420697
25,d85cb6bf-d414-4393-a580-e073eafcedbc,0.05,2.561724314818511,0.22668211363457344,0.12328270022329446
26,d85cb6bf-d414-4393-a580-e073eafcedbc,0.07,2.5820010494102132,0.2357811156490987,0.1298225779425014
27,e2435e89-c81c-448c-a671-c441ecac249f,0.03,2.5687450351137104,0.25593296506188135,0.12505939794760762
28,e2435e89-c81c-448c-a671-c441ecac249f,0.05,2.576793524351987,0.25212062522768974,0.2269357576627623
29,e2435e89-c81c-448c-a671-c441ecac249f,0.07,2.5025775255980314,0.27804152612332944,0.18263410155971846
