,dataset,sigma,proximity,geometric_instability,intervention_instability
0,compas,0.03,1.861674347676432,0.07294244044130767,0.033548932961285534
1,compas,0.05,1.861674347676432,0.16894516082630814,0.08288636782564122
2,compas,0.07,1.861674347676432,0.2773984892601089,0.10851081031292156
