query_id,generated,duplicates,after_dedup,sigma,pareto
35e00925-df3b-4a8c-9b7a-2a7a4f01d46f,250,212,38,0.03,1
c3a951e7-8f4c-4428-85ff-2950668db303,250,177,73,0.03,4
127a9135-a780-4cbc-874d-963203e18783,250,214,36,0.03,2
41028f4d-a8e3-4f91-98d9-8a4e6e41ae57,250,206,44,0.03,8
cc0ac02b-7954-4783-8498-3b01f4aa5847,250,242,8,0.03,2
523ddfae-3c0f-41c1-ad83-8ed25de55642,250,228,22,0.03,6
64bfe072-22c5-4ff7-8f17-ab9773716a6d,250,234,16,0.03,3
ac83d6ed-17c9-455c-8882-18dcdecb8369,250,227,23,0.03,2
527b6aba-00a3-427c-a206-2e0b724ec174,250,229,21,0.03,5
fc4166fd-913f-42e3-b95b-ecd17541efab,250,237,13,0.03,3
TOTAL,2500,2206,294,,36
