stage,seconds
data_loading,0.08
model_training,0.011
pool_building,1590.59
perturbed_pools_sigma0.03,4722.977
evaluation_sigma0.03,0.476
perturbed_pools_sigma0.05,4800.879
evaluation_sigma0.05,0.477
perturbed_pools_sigma0.07,4773.101
evaluation_sigma0.07,0.472
selection_analysis,0.16
aggregation,0.101
