,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,03e67c1d-479e-4805-b039-be17edadfdfa,0.03,2.14987043539683,0.33939868304878473,4.444444294075349e-09
1,03e67c1d-479e-4805-b039-be17edadfdfa,0.05,2.2247449159622192,0.3061409629881382,4.1666664563067e-09
2,03e67c1d-479e-4805-b039-be17edadfdfa,0.07,2.280943602323532,1.2482534237205982,0.22103175520896912
3,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.03,2.093131685256958,0.43064676895737647,0.08333333848352678
4,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.05,1.8555539449055989,0.7512886474529902,0.32407408704360324
5,22870c6a-0b15-4c58-929b-59bf854d2c7a,0.07,2.1830262660980226,0.6404856264591217,0.15555555738120136
6,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.03,1.7071067690849304,0.09099334664642811,0.1388888917863369
7,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.05,1.7071067690849304,0.2924693264067173,7.499999954418968e-09
8,30eb75a4-a9fd-4b7b-9aec-af379619000e,0.07,1.4142135381698608,0.10458340495824814,0.1666666716337204
9,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.03,1.4142135381698608,0.04606947302818298,9.99999993922529e-09
10,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.05,1.7320697903633118,0.23509042710065842,0.3999999910593033
11,3c61b51c-57a3-4d9b-b654-f1e3576a94df,0.07,1.4142135381698608,0.14354759454727173,0.1666666716337204
12,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.03,1.8535533845424652,1.0745224012061954,6.2499999620158064e-09
13,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.05,1.6094756921132405,0.5146645456552505,8.333333282687741e-09
14,6a15a9d2-d8a7-4388-a3f7-7c346043cccd,0.07,1.6094756921132405,0.2874763210614522,8.333333282687741e-09
15,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.03,1.4142135381698608,0.04777507856488228,0.1666666716337204
16,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.05,1.4142135381698608,0.20125341415405273,0.1666666716337204
17,d8a31397-7373-4667-a86f-9a2f0ea8dfda,0.07,1.7071067690849304,0.3055375702679157,0.1388888917863369
18,da87ab59-c9f8-496a-80d2-957a59773921,0.03,1.6094756921132405,0.03819995000958443,8.333333282687741e-09
19,da87ab59-c9f8-496a-80d2-957a59773921,0.05,1.4142135381698608,0.5541431307792664,0.1666666716337204
20,da87ab59-c9f8-496a-80d2-957a59773921,0.07,1.7071067690849304,0.09310556203126907,7.499999954418968e-09
21,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.03,2.104397734006246,1.0221170783042908,0.12777778257926306
22,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.05,1.9772838950157166,1.0293120394150417,0.22870371118187904
23,ddab5ee5-96e1-494c-85f2-7f1d27643f1b,0.07,1.90236892302831,0.5491529107093811,0.1574074125179259
24,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.03,1.7071067690849304,0.05301325023174286,7.499999954418968e-09
25,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.05,1.9659260213375092,0.5905066393315792,0.06944444797650168
26,deafd2c8-7a79-4626-be29-be8a3ca7bb91,0.07,1.609476089477539,0.5128713374336561,0.31481483081976575
27,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.03,1.5606641471385956,0.07160334475338459,8.749999946822129e-09
28,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.05,1.6094765265782673,0.14928807814915976,0.11111111608914692
29,e07a2a4f-6763-4fe2-8c26-4d7a4431bde5,0.07,1.4142188628514607,0.10831810534000397,9.99999993922529e-09
