stage,seconds
data_loading,0.515
model_training,0.012
pool_building,2495.171
perturbed_pools_sigma0.03,7590.156
evaluation_sigma0.03,0.114
perturbed_pools_sigma0.05,7566.844
evaluation_sigma0.05,0.121
perturbed_pools_sigma0.07,7137.016
evaluation_sigma0.07,0.109
selection_analysis,0.036
aggregation,0.059
