stage,seconds
data_loading,0.608
model_training,0.066
pool_building,10554.322
perturbed_pools_sigma0.03,31592.444
evaluation_sigma0.03,0.093
perturbed_pools_sigma0.05,30779.138
evaluation_sigma0.05,0.099
perturbed_pools_sigma0.07,31352.411
evaluation_sigma0.07,0.097
selection_analysis,0.0
aggregation,0.017
