stage,seconds
data_loading,3.038
model_training,0.05
pool_building,15201.067
perturbed_pools_sigma0.03,44485.985
evaluation_sigma0.03,0.111
perturbed_pools_sigma0.05,44714.498
evaluation_sigma0.05,0.1
perturbed_pools_sigma0.07,39507.857
evaluation_sigma0.07,0.049
selection_analysis,0.0
aggregation,0.008
