,dataset,sigma,proximity,geometric_instability,intervention_instability
0,heloc,0.03,0.5633642416257058,0.18255104032093591,0.2646878591876484
1,heloc,0.05,0.5633642416257058,0.256361643001981,0.330439705999918
2,heloc,0.07,0.5633642416257058,0.3227471626316109,0.34095702341763345
