query_id,generated,duplicates,after_dedup,sigma,pareto
9ce91a96-8cf3-4fe7-b809-e6f4b9e63a39,250,206,44,0.03,6
79dfd425-f788-4528-9136-c05c1330c62e,250,222,28,0.03,5
c8992e40-7124-4896-8994-cd6009446a2a,250,228,22,0.03,4
e423d204-4cfb-4643-8539-f981977a7b77,250,178,72,0.03,7
a1c1ba53-8ac3-4dfe-a75c-eb16c42342ab,250,203,47,0.03,4
91957a91-db80-4649-aa52-1d5431902474,250,181,69,0.03,7
24e363c2-00c7-4b2f-a992-6d85787a5713,250,189,61,0.03,7
34c9cd80-c6ed-47d4-bbeb-d31c12e25304,250,188,62,0.03,8
9c8e6b39-806c-4f3f-a366-aeee946296a2,250,207,43,0.03,6
b640c4a9-ea5f-4174-8327-3c698cb54913,250,233,17,0.03,5
TOTAL,2500,2035,465,,59
