query_id,generated,duplicates,after_dedup,sigma,pareto
31facc12-8d2f-4742-866c-e4b67218951c,0,0,0,0.05,
456b30fd-c8ca-4668-bb7e-259b3fe2d814,1,0,1,0.05,1.0
TOTAL,1,0,1,,1.0
