,dataset,sigma,proximity,geometric_instability,intervention_instability
0,diabetes,0.03,0.824999988079071,0.07228585965931415,9.99999993922529e-09
1,diabetes,0.05,0.824999988079071,0.43940667286515234,9.99999993922529e-09
2,diabetes,0.07,0.824999988079071,0.3414743348956108,9.99999993922529e-09
