stage,seconds
data_loading,0.355
model_training,0.057
pool_building,24.786
perturbed_pools_sigma0.03,86.945
evaluation_sigma0.03,0.151
perturbed_pools_sigma0.05,82.678
evaluation_sigma0.05,0.184
perturbed_pools_sigma0.07,94.165
evaluation_sigma0.07,0.204
selection_analysis,0.011
aggregation,0.45
