stage,seconds
data_loading,1.532
model_training,61.988
pool_building,50.051
perturbed_pools_sigma0.03,190.123
evaluation_sigma0.03,0.24
perturbed_pools_sigma0.05,197.02
evaluation_sigma0.05,0.295
perturbed_pools_sigma0.07,223.2
evaluation_sigma0.07,0.544
selection_analysis,0.012
aggregation,0.387
