,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,01f16db0-39bb-44f1-8ae5-d07a7c206bec,0.03,1.057301014661789,0.11176187917590141,0.15000000596046448
1,01f16db0-39bb-44f1-8ae5-d07a7c206bec,0.05,1.226271132628123,0.7606074611345927,0.3203703612089157
2,01f16db0-39bb-44f1-8ae5-d07a7c206bec,0.07,1.057301014661789,0.1360473819077015,0.2547618970274925
3,1c2a167d-bdaa-443b-821a-c82ac2f05366,0.03,1.7216637134552002,0.5660386085510254,0.06666667014360428
4,1c2a167d-bdaa-443b-821a-c82ac2f05366,0.05,1.7216637134552002,0.13499176502227783,0.06666667014360428
5,1c2a167d-bdaa-443b-821a-c82ac2f05366,0.07,1.7216637134552002,1.1823583841323853,0.12222222238779068
6,27f442b5-1e77-44aa-a15e-55799bbf9248,0.03,1.0465261936187744,0.1912229210138321,0.24444444477558136
7,27f442b5-1e77-44aa-a15e-55799bbf9248,0.05,1.0623906254768372,0.6306184530258179,0.3896825611591339
8,27f442b5-1e77-44aa-a15e-55799bbf9248,0.07,1.0925456682840984,0.20254668593406677,0.44814815123875934
9,34143cd5-19f4-4234-8616-fcfd836f9e63,0.03,0.9900278449058533,0.07670044898986816,0.13333334028720856
10,34143cd5-19f4-4234-8616-fcfd836f9e63,0.05,1.4054316729307175,1.2739417850971222,0.36071428284049034
11,34143cd5-19f4-4234-8616-fcfd836f9e63,0.07,1.2843557794888814,0.29530419409275055,0.31798943877220154
12,9e9feea1-a05f-4b04-9414-ee609d420cc6,0.03,1.0036768913269043,0.11312131956219673,0.2805555686354637
13,9e9feea1-a05f-4b04-9414-ee609d420cc6,0.05,0.9532228708267212,0.1786624640226364,0.3444444239139557
14,9e9feea1-a05f-4b04-9414-ee609d420cc6,0.07,0.9532228708267212,0.24506835639476776,0.3444444239139557
15,a9c4d071-ed1a-4c25-9425-05c827fe44e7,0.03,0.9887797832489014,0.11582908779382706,0.21666665375232697
16,a9c4d071-ed1a-4c25-9425-05c827fe44e7,0.05,1.0273116827011108,0.3253215104341507,0.2749999985098839
17,a9c4d071-ed1a-4c25-9425-05c827fe44e7,0.07,0.9887797832489014,0.817571222782135,0.41111111640930176
18,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.03,1.3675098419189453,1.1016887724399567,0.45000000298023224
19,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.05,1.0365649461746216,0.9906272292137146,0.23333333432674408
20,af3ff3df-2b4e-4a4d-82f7-48dd4d3901d5,0.07,1.8191570520401001,1.1787663459777833,0.4991269946098328
21,c09fa158-ea66-4273-8f16-0caddc487058,0.03,1.6861507296562195,0.9543214738368988,0.45674603432416916
22,c09fa158-ea66-4273-8f16-0caddc487058,0.05,1.3910574913024902,0.606059193611145,0.38055557012557983
23,c09fa158-ea66-4273-8f16-0caddc487058,0.07,1.4962431987126668,1.2077688177426655,0.45185185472170514
24,d78490e7-6355-4738-bf5b-760bb51e8a81,0.03,0.9889506697654724,0.06980005651712418,0.0833333358168602
25,d78490e7-6355-4738-bf5b-760bb51e8a81,0.05,0.9889506697654724,0.6532664895057678,0.21666665375232697
26,d78490e7-6355-4738-bf5b-760bb51e8a81,0.07,0.9889506697654724,0.23012323677539825,0.1666666716337204
27,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.03,0.9868011772632599,0.6342408657073975,0.31388888508081436
28,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.05,1.003466824690501,0.7351459860801697,0.43677250544230145
29,eca39372-7c3c-4c5d-ae42-a456e2c22e5e,0.07,1.1913322359323502,0.745298221707344,0.4707341343164444
