,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,10ae5ffd-b128-4efa-817d-e7e19d9b0936,0.03,1.5036875009536743,0.8572857975959778,0.1111111119389534
1,10ae5ffd-b128-4efa-817d-e7e19d9b0936,0.05,1.5036875009536743,0.12232450395822525,0.0555555559694767
2,10ae5ffd-b128-4efa-817d-e7e19d9b0936,0.07,1.5036875009536743,0.5745664238929749,0.0555555559694767
3,2c72e1df-37fe-4177-b794-7ea58a0b1c9f,0.03,2.61732280254364,1.16933473944664,0.20621692389249802
4,2c72e1df-37fe-4177-b794-7ea58a0b1c9f,0.05,2.61732280254364,0.9827214181423187,0.1587301604449749
5,2c72e1df-37fe-4177-b794-7ea58a0b1c9f,0.07,2.61732280254364,1.2659070491790771,0.2500000074505806
6,4a6adc5d-0987-4708-8201-d1c93f9d4a38,0.03,2.7754607995351157,1.25016983350118,0.24074073632558188
7,4a6adc5d-0987-4708-8201-d1c93f9d4a38,0.05,2.7754607995351157,2.0031322638193765,0.31697531044483185
8,4a6adc5d-0987-4708-8201-d1c93f9d4a38,0.07,2.7754607995351157,1.9962828954060872,0.3598765432834625
9,4c0d3150-c0d3-4f85-8559-f384fd90965d,0.03,1.4689749479293823,0.7123869061470032,0.21666665375232697
10,4c0d3150-c0d3-4f85-8559-f384fd90965d,0.05,1.4689749479293823,0.06845905631780624,0.0833333358168602
11,4c0d3150-c0d3-4f85-8559-f384fd90965d,0.07,1.9027140736579895,1.3882033228874207,0.3702381104230881
12,7072c831-8ea1-4c6f-8e31-f52b502fc20f,0.03,2.188450574874878,1.3556195497512817,0.255952388048172
13,7072c831-8ea1-4c6f-8e31-f52b502fc20f,0.05,2.188450574874878,1.521754264831543,0.2261904925107956
14,7072c831-8ea1-4c6f-8e31-f52b502fc20f,0.07,2.188450574874878,0.5632705688476562,0.0833333358168602
15,85afd389-4566-48eb-a3c5-0ca02b5ce406,0.03,2.0284475088119507,1.8384142518043518,0.3125
16,85afd389-4566-48eb-a3c5-0ca02b5ce406,0.05,2.0284475088119507,1.784891963005066,0.2767857164144516
17,85afd389-4566-48eb-a3c5-0ca02b5ce406,0.07,2.0284475088119507,0.9494214951992035,0.1309523843228817
18,aa354f7b-27cb-4f91-8550-05e3a8abafa6,0.03,2.598848263422648,1.6723979314168294,0.37261905272801715
19,aa354f7b-27cb-4f91-8550-05e3a8abafa6,0.05,2.598848263422648,1.8053550720214844,0.4146825273831685
20,aa354f7b-27cb-4f91-8550-05e3a8abafa6,0.07,2.5122069120407104,1.6630194783210754,0.24537037312984467
21,d48209db-370b-4c11-b833-c374c978fe94,0.03,2.517972946166992,1.6222134828567505,0.2757936418056488
22,d48209db-370b-4c11-b833-c374c978fe94,0.05,2.894576847553253,2.010093718767166,0.36646825075149536
23,d48209db-370b-4c11-b833-c374c978fe94,0.07,2.7590832710266113,2.4427164793014526,0.4188912957906723
24,e43b2e7a-aee6-4bf3-91c5-9e9b83748133,0.03,2.4324880838394165,1.5969789624214172,0.3333333283662796
25,e43b2e7a-aee6-4bf3-91c5-9e9b83748133,0.05,2.46785577138265,1.6008710463841755,0.27301588157812756
26,e43b2e7a-aee6-4bf3-91c5-9e9b83748133,0.07,2.625584840774536,2.0304189920425415,0.42096562683582306
27,feb99767-4b22-4d5f-9cbb-3daa84e8d22c,0.03,2.3390974203745523,0.5602181951204935,0.1574074092010657
28,feb99767-4b22-4d5f-9cbb-3daa84e8d22c,0.05,2.3390974203745523,1.4912986159324646,0.38743386169274646
29,feb99767-4b22-4d5f-9cbb-3daa84e8d22c,0.07,2.3390974203745523,1.6563726266225178,0.42195768157641095
