,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
01d97165-74f0-4eb9-82ea-98cb41334a86,0.03,5.0,1.923711895942688,0.41455472470869126,1.4846364259719849,1.5245521068572998,2.0329861640930176,2.118378162384033,2.4580066204071045,5.0,0.8226222991943359,0.5639431829827439,0.2470637559890747,0.48498690128326416,0.52216637134552,1.4218449592590332,1.4370495080947876,5.0,0.14222222457593,0.10705081183195325,1.999999943436137e-09,0.0833333358168602,0.13333334028720856,0.24444444477558136,0.25
01d97165-74f0-4eb9-82ea-98cb41334a86,0.05,5.0,1.923711895942688,0.41455472470869126,1.4846364259719849,1.5245521068572998,2.0329861640930176,2.118378162384033,2.4580066204071045,5.0,1.1202629327774047,0.3232126671952505,0.7565101981163025,0.9272471070289612,0.9957926273345947,1.4414080381393433,1.4803566932678223,5.0,0.23444444239139556,0.10573084546899865,0.12222222238779068,0.12222222238779068,0.2777777910232544,0.29999998211860657,0.3499999940395355
01d97165-74f0-4eb9-82ea-98cb41334a86,0.07,5.0,1.923711895942688,0.41455472470869126,1.4846364259719849,1.5245521068572998,2.0329861640930176,2.118378162384033,2.4580066204071045,5.0,1.010023045539856,0.20640015306600962,0.6475497484207153,1.0495907068252563,1.0798274278640747,1.1200082302093506,1.1531391143798828,5.0,0.16555556247895278,0.12400219415104552,1.999999943436137e-09,0.06666667014360428,0.23333334922790527,0.25,0.2777777910232544
108e2240-8f1c-499c-b4de-6140e55d59e9,0.03,5.0,2.4816887855529783,0.24979267757635473,2.1949124336242676,2.3272781372070312,2.4610393047332764,2.5776453018188477,2.8475687503814697,5.0,0.9786941528320312,0.6125744870790325,0.5753288865089417,0.5904521346092224,0.6144845485687256,1.116744875907898,1.9964603185653687,5.0,0.14825397223827208,0.14711297697683073,1.999999943436137e-09,2.4999999848063226e-09,0.20000000298023224,0.20000000298023224,0.341269850730896
108e2240-8f1c-499c-b4de-6140e55d59e9,0.05,5.0,2.4816887855529783,0.24979267757635473,2.1949124336242676,2.3272781372070312,2.4610393047332764,2.5776453018188477,2.8475687503814697,5.0,0.9438873723149299,1.0446320302494128,0.11328402161598206,0.114207424223423,0.47042980790138245,1.5177230834960938,2.5037925243377686,5.0,0.2279365122318268,0.05232801838106796,0.17777778208255768,0.20000000298023224,0.2063492089509964,0.24444444477558136,0.31111112236976624
108e2240-8f1c-499c-b4de-6140e55d59e9,0.07,5.0,2.4816887855529783,0.24979267757635473,2.1949124336242676,2.3272781372070312,2.4610393047332764,2.5776453018188477,2.8475687503814697,5.0,1.1092023193836211,0.7454172712918054,0.3825794756412506,0.8110947012901306,0.9401621222496033,1.0485848188400269,2.3635904788970947,5.0,0.2739682585000992,0.08899936704264344,0.18888889253139496,0.20000000298023224,0.24444444477558136,0.35555556416511536,0.380952388048172
3a2595a7-0900-43c5-854a-0ff63d4c9802,0.03,5.0,2.171782040596008,0.2529422023346692,1.8598018884658813,2.0026440620422363,2.1933043003082275,2.2922585010528564,2.51090145111084,5.0,0.8196631520986557,0.39981150396751786,0.20029406249523163,0.7015631794929504,0.879176914691925,1.0935343503952026,1.2237472534179688,5.0,0.3000000149011612,0.12638128032710733,0.1666666716337204,0.25,0.25,0.3333333432674408,0.5000000596046448
3a2595a7-0900-43c5-854a-0ff63d4c9802,0.05,5.0,2.171782040596008,0.2529422023346692,1.8598018884658813,2.0026440620422363,2.1933043003082275,2.2922585010528564,2.51090145111084,5.0,0.578852704539895,0.438813970973365,0.025896402075886726,0.1825396865606308,0.8504354357719421,0.8728663921356201,0.9625256061553955,5.0,0.17111111383302308,0.20661887016406452,2.4999999848063226e-09,2.4999999848063226e-09,0.13333334028720856,0.2222222238779068,0.5
3a2595a7-0900-43c5-854a-0ff63d4c9802,0.07,5.0,2.171782040596008,0.2529422023346692,1.8598018884658813,2.0026440620422363,2.1933043003082275,2.2922585010528564,2.51090145111084,5.0,1.0422825336456298,0.48005635483633935,0.40330803394317627,0.8657395243644714,0.8972522616386414,1.5219358205795288,1.5231770277023315,5.0,0.3344444453716278,0.16751634901010756,0.1666666716337204,0.20000000298023224,0.3499999940395355,0.36666667461395264,0.5888888835906982
42a851b6-80fe-42ac-877b-8876260f2c7b,0.03,5.0,2.3001755237579347,0.20898841358682746,2.0799379348754883,2.1601388454437256,2.2163901329040527,2.5001227855682373,2.544287919998169,5.0,1.0794105231761932,0.583149803031798,0.45666739344596863,0.7343398928642273,0.8497651219367981,1.4735908508300781,1.882689356803894,5.0,0.1822222240269184,0.10732435776851952,0.0555555559694767,0.13333334028720856,0.13333334028720856,0.2888889014720917,0.29999998211860657
42a851b6-80fe-42ac-877b-8876260f2c7b,0.05,5.0,2.3001755237579347,0.20898841358682746,2.0799379348754883,2.1601388454437256,2.2163901329040527,2.5001227855682373,2.544287919998169,5.0,1.532556128501892,0.35829288117114216,1.1933408975601196,1.2109785079956055,1.4738749265670776,1.7643262147903442,2.0202600955963135,5.0,0.317857152223587,0.03704955376473494,0.2750000059604645,0.2888889014720917,0.32380953431129456,0.3333333432674408,0.3682539761066437
42a851b6-80fe-42ac-877b-8876260f2c7b,0.07,5.0,2.3001755237579347,0.20898841358682746,2.0799379348754883,2.1601388454437256,2.2163901329040527,2.5001227855682373,2.544287919998169,5.0,1.4582614421844482,0.43965915986302717,1.01012122631073,1.0457671880722046,1.4589544534683228,1.7608166933059692,2.0156476497650146,5.0,0.22293651700019837,0.039894674612352354,0.1666666716337204,0.20952381193637848,0.2261904925107956,0.236111119389534,0.27619048953056335
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.03,5.0,2.1746197938919067,0.41317568886978445,1.578126311302185,2.0196313858032227,2.1734092235565186,2.4515771865844727,2.6503548622131348,5.0,1.189447295665741,0.5727260245550668,0.600901186466217,0.8778011202812195,0.9309614300727844,1.5133768320083618,2.024195909500122,5.0,0.2166666716337204,0.08975274627827788,0.13333334028720856,0.13333334028720856,0.20000000298023224,0.28333333134651184,0.3333333432674408
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.05,5.0,2.1746197938919067,0.41317568886978445,1.578126311302185,2.0196313858032227,2.1734092235565186,2.4515771865844727,2.6503548622131348,5.0,1.692705512046814,0.41147104231414094,0.9955308437347412,1.699459433555603,1.8406785726547241,1.85877525806427,2.0690834522247314,5.0,0.3414285659790039,0.15935432707517902,0.21666665375232697,0.23333333432674408,0.30158731341362,0.3444444239139557,0.6111111044883728
5c49654a-f2c4-4a25-b1ef-fb962d6d2616,0.07,5.0,2.1746197938919067,0.41317568886978445,1.578126311302185,2.0196313858032227,2.1734092235565186,2.4515771865844727,2.6503548622131348,5.0,1.3318548440933227,0.5775769717227605,0.7082783579826355,0.8744247555732727,1.300365924835205,1.6467770338058472,2.1294281482696533,5.0,0.15555555562441864,0.09961344724176875,1.999999943436137e-09,0.13333334028720856,0.1666666716337204,0.21666665375232697,0.2611111104488373
63e1af52-4281-4e58-b574-13dc45ff60a7,0.03,5.0,2.185081434249878,0.517247950431362,1.587345004081726,1.6538294553756714,2.530174970626831,2.530503988265991,2.62355375289917,5.0,1.7129799127578735,0.1429455968151304,1.5629068613052368,1.6492643356323242,1.6914548873901367,1.7144416570663452,1.9468318223953247,5.0,0.2682539790868759,0.07124094913759159,0.1984127014875412,0.25,0.25,0.2539682686328888,0.3888889253139496
63e1af52-4281-4e58-b574-13dc45ff60a7,0.05,5.0,2.185081434249878,0.517247950431362,1.587345004081726,1.6538294553756714,2.530174970626831,2.530503988265991,2.62355375289917,5.0,1.0232240438461304,0.32385052538611264,0.6973211169242859,0.7520819306373596,1.0026979446411133,1.1760168075561523,1.4880024194717407,5.0,0.20222222283482552,0.09530652165554827,0.0555555559694767,0.1666666716337204,0.2222222238779068,0.28333333134651184,0.28333333134651184
63e1af52-4281-4e58-b574-13dc45ff60a7,0.07,5.0,2.185081434249878,0.517247950431362,1.587345004081726,1.6538294553756714,2.530174970626831,2.530503988265991,2.62355375289917,5.0,1.0679466605186463,0.3121930252230819,0.567803680896759,1.0808148384094238,1.1239975690841675,1.1361974477767944,1.4309197664260864,5.0,0.1666666641831398,0.07964039229467267,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.21666665375232697,0.28333333134651184
8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,0.03,5.0,2.506527853012085,0.28390851286168495,2.0636119842529297,2.463557243347168,2.52937912940979,2.646743059158325,2.829347848892212,5.0,0.7597958222031593,0.8795325829968761,0.07079080492258072,0.25143253803253174,0.3369400203227997,0.9104463458061218,2.2293694019317627,5.0,0.2866666778922081,0.12720888591945137,0.0833333358168602,0.2777777910232544,0.28333333134651184,0.3888889253139496,0.4000000059604645
8ccafe52-ad55-4300-9ffb-6fdfb1b4d7bc,0.05,5.0,2.506527853012085,0.28390851286168495,2.0636119842529297,2.463557243347168,2.52937912940979,2.646743059158325,2.829347848892212,5.0,0.9907250359654427,0.7828555593173387,0.06601116806268692,0.6274701952934265,0.9462588429450989,1.1208767890930176,2.1930081844329834,5.0,0.3111111134290695,0.1074393305184323,0.1666666716337204,0.2888889014720917,0.29999998211860657,0.3333333432674408,0.46666666865348816
