stage,seconds
data_loading,1.19
model_training,0.057
pool_building,14699.829
perturbed_pools_sigma0.03,43894.048
evaluation_sigma0.03,1.022
perturbed_pools_sigma0.05,46118.233
evaluation_sigma0.05,0.981
perturbed_pools_sigma0.07,40669.998
evaluation_sigma0.07,0.962
selection_analysis,3.954
aggregation,0.254
